,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,
,,,,,,,,,,,
,Table 30.4: DISPENSARIES UNDER AYUSH SYSTEMS,,,,,,,,,
,(as  on 1st April),,,,,,,,,
,,,,,,,,,,,
Year,Ayurveda,Unani,Siddha,Yoga,Naturopathy,Homoeopathy,Sowa-Rigpa ,Total,,
1,2,3,4,5,6,7,8,9,,
2001,13939,958,352,65,56,5185,72,20627,,
2002,13801,945,347,63,49,4952,72,20229,,
2003,13991,881,399,70,52,5454,126,20973,,
2004,14028,951,424,70,51,5584,126,21234,,
2005,13778,971,444,71,52,5690,126,21132,,
2006,13890,1010,463,46,41,5859,126,21435,,
2007,13913,1019,488,45,42,5910,131,21548,,
2008,13989,1028,529,45,49,6030,131,21801,,
2009,14727,1128,531,57,96,6844,131,23514,,
2010,15353,1146,541,59,97,6958,135,24289,,
2011,15017,1021,821,140,97,7049,135,24146,,   
2012,15072,1147,821,122,97,7024,109,24392,,
2013,15927,1483,830,140,120,7585,22,26107,,
2014,15808,1485,845,138,123,7709,22,26130,,
2015,15555,1491,835,189,104,8117,34,26325,,
2016,15527,1489,835,234,105,8181,34,26405,,
,Source: Ministry of Health & Family Welfare;Department of AYUSH.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,
Bihar,311,311,311,1082,1082,1082,1082,144,144,144,449,449,449,449,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,179,179,179,644,644,644,644,-,-,-,,0,0,0,634,634,634,2175,2175,2175,2175
Chhattisgarh,1272,1272,954,955,955,956,956,26,26,26,26,26,26,26,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,172,172,112,112,112,112,112,1,1,-,,0,0,0,1471,1470,1092,1093,1093,1094,1094
Delhi,158,156,32,34,35,37,37,30,35,15,17,17,19,19,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,127,128,97,93,99,101,101,3,3,-,,0,0,0,318,319,144,144,151,157,157
Goa,11,9,9,9,14,11,11,-,1,1,1,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,5,10,10,10,14,15,15,-,-,-,,0,0,0,16,20,20,20,28,26,26
Gujarat,542,523,523,545,545,545,555,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,16,16,16,16,-,-,-,14,14,14,14,216,216,216,216,216,216,216,1,1,1,,0,0,0,759,739,740,791,791,791,801
Haryana,493,493,493,483,483,483,483,7,7,7,19,19,19,19,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,22,22,22,22,22,22,22,-,-,-,,0,0,0,522,522,522,524,524,524,524
Himachal Pradesh,1105,1105,1109,1108,1110,1113,1112,3,3,3,3,3,3,3,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,14,14,14,14,14,14,14,14,14,4,4,4,4,4,1136,1122,1130,1129,1131,1134,1133
Jammu & Kashmir,273,240,240,240,240,240,240,235,177,177,177,177,177,177,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,82,82,82,,0,25,25,590,417,499,417,417,442,442
Jharkhand,122,220,220,185,185,220,220,30,54,54,54,54,54,54,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,54,92,92,94,94,92,92,-,-,-,,0,0,0,206,366,366,333,333,366,366
Karnataka,561,561,561,561,563,564,592,50,50,50,50,50,50,50,-,-,-,,0,0,0,-,-,-,,0,0,0,5,5,5,5,5,5,5,43,5,43,43,43,43,43,7,7,-,,0,0,0,666,621,659,659,661,662,690
Kerala,898,898,898,898,898,898,807,12,12,12,12,12,12,2,5,5,5,5,5,5,6,-,5,5,5,5,5,0,-,-,-,,0,0,1,526,551,551,551,661,661,661,-,-,-,,0,0,0,1441,1471,1471,1471,1581,1581,1477
Madhya Pradesh,1427,1427,1429,1496,1496,1496,1496,50,50,50,64,64,64,64,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,146,146,146,213,213,213,213,-,-,-,,0,0,0,1623,1623,1625,1773,1773,1773,1773
Maharashtra,469,469,469,469,469,466,466,25,25,25,25,25,25,25,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,1,1,3,3,-,,0,0,0,497,494,494,494,494,492,492
Manipur,30,32,32,36,36,36,36,13,14,14,15,15,15,15,-,-,-,,0,0,0,12,14,14,17,17,17,17,9,13,13,13,13,13,13,178,194,194,201,201,201,201,-,-,-,,0,0,0,242,267,267,282,282,282,282
Meghalaya,14,4,6,6,6,6,6,-,-,-,,0,0,0,-,-,-,,0,0,0,1,1,1,,0,0,0,-,-,-,,0,0,0,35,5,6,6,6,6,6,1,1,1,,0,0,0,51,10,14,12,12,12,12
Mizoram,2,1,1,1,1,2,2,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0, , , ,,0,0,0,11,13,13,16,20,20,22,-,-,-,,0,0,0,13,14,14,17,21,22,24
Nagaland,109,109,109,109,109,109,109,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1,1,1,1,1,1,1,93,93,93,93,93,93,93,-,-,-,,0,0,0,203,203,203,203,203,203,203
Odisha,624,624,624,624,624,624,624,9,9,9,9,9,9,9,-,-,-,,0,0,0,35,35,35,35,35,35,35,30,30,30,30,30,30,30,637,637,638,638,638,638,638,2,2,-,,0,0,0,1337,1335,1336,1336,1336,1336,1336
Punjab,507,507,507,507,490,489,489,35,35,35,35,34,35,35,-,-,-,,0,0,0,1,1,1,1,0,1,1,-,-,-,,0,0,0,107,111,111,111,111,111,111,-,-,-,,0,0,0,650,112,654,654,635,636,636
Rajasthan,3568,3577,3577,3577,3577,3577,3577,110,110,110,110,110,120,120,-,-,-,,0,0,0,-,3,3,3,0,0,0,3,-,-,,3,3,3,180,180,180,189,189,189,252,-,-,-,,0,0,0,3861,3760,3870,3879,3879,3889,3952
Sikkim,1,-,6,3,3,2,2,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1,-,8,7,9,9,9,3,3,3,2,2,1,1,5,0,17,12,14,12,12
Tamil Nadu,45,97,98,98,97,97,96,23,63,63,63,63,63,63,502,780,780,780,783,773,773,4,74,54,54,54,104,104,1,-,-,,0,0,0,48,105,105,105,105,105,105,1,1,1,,0,0,0,624,1119,1101,1100,1102,1142,1141
Telangana*,,,,,641,426,426,,,,,196,188,188,,,,,0,1,1,,,,,0,0,0,,,,,47,28,28,,,,,325,199,199,,,,,0,0,0,,,,,1209,842,842
Tripura,54,54,36,36,36,36,36,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,80,77,77,75,75,73,73,-,-,-,,0,0,0,134,131,113,111,111,109,109
Uttar Pradesh,340,389,389,389,389,340,340,49,49,49,49,49,49,49,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1575,1575,1575,1575,1575,1575,1575,1,1,1,1,1,0,0,1965,2013,2014,2014,2014,1964,1964
Uttarakhand,467,467,467,467,142,142,142,3,3,3,3,3,3,3,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,60,60,60,60,60,60,60,3,3,3,3,3,3,3,533,530,533,533,208,208,208
West Bengal,295,295,295,295,502,502,502,3,3,3,3,3,3,3,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1534,1534,1534,1534,1534,2020,2020,5,5,5,5,5,0,0,1837,1832,1837,1837,2044,2525,2525
Union Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,8,8,10,10,12,12,11,-,-,-,,0,0,0,-,-,-,,0,0,0,2,1,3,3,3,3,2,-,-,-,,0,0,0,17,17,16,17,17,18,19,-,-,-,,0,0,0,27,26,29,30,32,33,32
Chandigarh,8,8,9,9,9,9,10,-,-,-,1,1,1,1,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,7,7,10,10,10,10,10,-,-,-,,0,0,0,15,15,19,20,20,20,21
D & N Haveli,3,-,-,8,0,1,8,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1,-,-,3,0,1,6,-,-,-,,0,0,0,4,0,-,11,0,2,14
Daman & Diu,6,6,6,6,6,6,6,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,5,6,6,6,6,6,6,-,-,-,,0,0,0,11,12,12,12,12,12,12
Lakshadweep,2,8,8,8,8,8,8,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,1,5,5,5,7,7,7,-,-,-,,0,0,0,3,13,13,13,15,15,15
Puducherry,21,21,21,21,27,27,27,-,-,-,,0,0,0,23,23,23,23,24,24,24,-,2,2,2,4,4,4,-,-,-,,0,0,0,10,10,10,10,17,17,17,-,-,-,,0,0,0,54,56,56,56,72,72,72
Total,15131,14769,14834,15660,15534,15291,15244,1127,1140,1120,1455,1453,1461,1451,530,808,808,808,812,803,804,55,136,118,136,134,185,179,96,96,96,110,113,94,95,6732,6812,6771,7321,7453,7856,7926,134,134,108,21,21,33,33,23805,23616,23855,25511,25520,25723,25732
CGHS & Central Government organizations,222,248,238,267,274,264,283,19,26,27,28,32,30,38,11,13,13,22,33,32,31,4,4,4,4,4,4,55,1,1,1,10,10,10,10,226,237,252,264,256,261,255,1,1,1,1,1,1,1,484,530,537,596,610,602,673
All India,15353,15017,15072,15927,15808,15555,,1146,1021,1147,1483,1485,1491,1489,541,821,821,830,845,835,835,59,140,122,140,138,189,234,97,97,97,120,123,104,105,6958,7049,7024,7585,7709,8117,8181,135,135,109,22,22,34,34,24289,24146,24392,26107,26130,26325,26405
,Source: Ministry of Health & Family Welfare;Department of AYUSH.,,,,,,,,,,,,,,,,,,,,,Source: Ministry of Health & Family Welfare;Department of AYUSH.,,,,,,,,,,,,,,,,,,,,,Source: Ministry of Health & Family Welfare;Department of AYUSH.,,,,,,,,,,,,,
,*The figures of Telangana State is provisional. The figures of Andhra Pradesh is based on information supplied by State as on 01.07.2014 separately for Andhra Pradesh. Hence for the Telangana state; it is calculated based on last year data of Andhra Pradesh minus current year data of Andhra Pradesh.,,,,,,,,,,,,,,,,,,,,,*The figures of Telangana State is provisional. The figures of Andhra Pradesh is based on information supplied by State as on 01.07.2014 separately for Andhra Pradesh. Hence for the Telangana state; it is calculated based on last year data of Andhra Pradesh minus current year data of Andhra Pradesh.,,,,,,,,,,,,,,,,,,,,,*The figures of Telangana State is provisional. The figures of Andhra Pradesh is based on information supplied by State as on 01.07.2014 separately for Andhra Pradesh. Hence for the Telangana state; it is calculated based on last year data of Andhra Pradesh minus current year data of Andhra Pradesh.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
